               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.035214,            0.018867,           0.0074547,                   0,                   0,                   0,                   0,                   0,           0.0032561,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.032641,            0.021832,           0.0075191,                   0,                   0,                   0,                   0,                   0,           0.0035419,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.041694,            0.024098,           0.0068391,                   0,                   0,                   0,                   0,                   0,           0.0039951,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.038626,            0.017766,           0.0084768,                   0,                   0,                   0,                   0,                   0,           0.0038855,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.033167,            0.020317,           0.0074486,                   0,                   0,                   0,                   0,                   0,           0.0038855,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.040109,            0.023369,           0.0067891,                   0,                   0,                   0,                   0,                   0,           0.0037957,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.031496,            0.018811,           0.0055158,                   0,                   0,                   0,                   0,                   0,           0.0036821,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.040964,            0.019186,            0.010898,                   0,                   0,                   0,                   0,                   0,           0.0033712,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.039012,            0.019802,           0.0080982,                   0,                   0,                   0,                   0,                   0,           0.0033712,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.042144,            0.017768,            0.009801,                   0,                   0,                   0,                   0,                   0,           0.0032336,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.032637,            0.017351,           0.0095266,                   0,                   0,                   0,                   0,                   0,             0.00311,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.029907,            0.018871,           0.0081019,                   0,                   0,                   0,                   0,                   0,           0.0032505,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.039979,            0.018976,           0.0091511,                   0,                   0,                   0,                   0,                   0,           0.0032505,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.036663,             0.01939,           0.0086757,                   0,                   0,                   0,                   0,                   0,           0.0031275,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.033911,            0.024311,           0.0064277,                   0,                   0,                   0,                   0,                   0,           0.0036901,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.042307,            0.020001,           0.0079723,                   0,                   0,                   0,                   0,                   0,           0.0038561,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.04235,            0.018821,           0.0069296,                   0,                   0,                   0,                   0,                   0,           0.0038561,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.03452,            0.021855,           0.0076207,                   0,                   0,                   0,                   0,                   0,            0.003781,                   0,            0.005776,            0.005776,            0.005776
                 130,             0.03948,            0.019044,            0.012445,                   0,                   0,                   0,                   0,                   0,             0.00391,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.033445,            0.019577,           0.0041766,                   0,                   0,                   0,                   0,                   0,           0.0039297,                   0,             0.00571,             0.00571,             0.00571
